Indicator,Subtype,Coefficient,P-value
"Domestic garden percentage, buffer 1000m",5,0.028267601908285145,0.15055699132538877
"Water percentage, buffer 1000m",1,-0.004390551685051241,0.7285101115830558
"Water percentage, buffer 1000m",2,-0.0003809969913547145,0.97755119450713
"Water percentage, buffer 1000m",3,0.026738877806494605,0.0751271163182378
"Water percentage, buffer 1000m",4,-0.005038227017615984,0.7182314509663387
"Water percentage, buffer 1000m",5,-0.024394209410571514,0.2147729041993378
"Greenspace percentage, buffer 300m",1,0.062272642633868,8.113753655756282e-07
"Greenspace percentage, buffer 300m",2,-0.0007550294143120389,0.9554533242002553
"Greenspace percentage, buffer 300m",3,0.018452008482779062,0.21861068803508382
"Greenspace percentage, buffer 300m",4,-0.045327233977227044,0.0011456315822279263
"Greenspace percentage, buffer 300m",5,-0.09061926034077229,3.8921578833655095e-06
"Domestic garden percentage, buffer 300m",1,0.01142537469782737,0.36629137292155134
"Domestic garden percentage, buffer 300m",2,0.011738858909943105,0.38585441097426854
"Domestic garden percentage, buffer 300m",3,-0.007153594083778045,0.6339266155781164
"Domestic garden percentage, buffer 300m",4,-0.0060745876046221225,0.6634704891947674
"Domestic garden percentage, buffer 300m",5,-0.028072611210130126,0.153325200385165
"Water percentage, buffer 300m",1,-0.015600930437649246,0.21742004610659146
"Water percentage, buffer 300m",2,0.007794411495275863,0.5648303414263423
"Water percentage, buffer 300m",3,0.05069897163107566,0.0007389066687972991
"Water percentage, buffer 300m",4,-0.02623861632170178,0.06021367632034799
"Water percentage, buffer 300m",5,-0.013539488431970559,0.4911077998991401
"Natural environment percentage, buffer 1000m",1,0.08892633893788182,1.6450077902234629e-12
"Natural environment percentage, buffer 1000m",2,-0.00019964610967134033,0.9881878246832336
"Natural environment percentage, buffer 1000m",3,0.02636172033387021,0.0781213407801274
"Natural environment percentage, buffer 1000m",4,-0.05769932765810775,3.330858427439686e-05
"Natural environment percentage, buffer 1000m",5,-0.14521943020847025,1.1875111122410544e-13
"Natural environment percentage, buffer 300m",1,0.07189824649921916,1.2183533736202604e-08
"Natural environment percentage, buffer 300m",2,-0.009491027236637398,0.4824320571740529
"Natural environment percentage, buffer 300m",3,0.02758689130288037,0.06579026270804894
"Natural environment percentage, buffer 300m",4,-0.04967348699836116,0.0003637998430843667
"Natural environment percentage, buffer 300m",5,-0.10248341965855157,1.7570760388507515e-07
Townsend deprivation index,1,-0.1816928971951176,1.57371037383616e-47
Townsend deprivation index,2,-0.03612969758701606,0.007234383248100461
Townsend deprivation index,3,-0.051346488243286185,0.0005819219371076727
Townsend deprivation index,4,0.1519647756560007,5.66065414317228e-28
Townsend deprivation index,5,0.30188957676651845,4.603482664319269e-54
Average total household income before tax,1,0.1532288401318972,3.4238604337039785e-37
Average total household income before tax,2,0.0168281979495512,0.19166494758733219
Average total household income before tax,3,0.08341945721703563,5.406402239846746e-09
Average total household income before tax,4,-0.13482710932198894,3.240459220722319e-24
Average total household income before tax,5,-0.2813117473589457,3.149122171531657e-51
In paid employment or self-employed,1,0.06441248114088276,1.0632799304075117e-09
In paid employment or self-employed,2,0.03964128349908295,0.0004545736669131135
In paid employment or self-employed,3,0.03329170641336506,0.007968151790284596
In paid employment or self-employed,4,-0.05523235052939403,2.1642503606232016e-06
In paid employment or self-employed,5,-0.18677251635369646,4.944414100578884e-30
Retired,1,-0.012291226412480255,0.18806761062846156
Retired,2,0.005112097114461258,0.6090362012314496
Retired,3,-0.024970645315243362,0.024360745169963845
Retired,4,0.019666906185299454,0.056390611604325194
Retired,5,0.022690123444223553,0.11803418238149992
Looking after home and/or family,1,0.02920237185827035,0.01880654443532553
Looking after home and/or family,2,-0.009966354802498885,0.45384775460183946
Looking after home and/or family,3,0.021786585418574266,0.14006843193937452
Looking after home and/or family,4,-0.04200287689754355,0.002204482401896015
Looking after home and/or family,5,-0.003569466117551795,0.8534572129257367
Unable to work because of sickness or disability,1,-0.1117255545630557,8.987696994497375e-19
Unable to work because of sickness or disability,2,-0.09771755070180273,4.931034670203043e-13
Unable to work because of sickness or disability,3,-0.0528608070499712,0.000428296933126449
Unable to work because of sickness or disability,4,0.10627782409461319,2.4913894631711288e-14
Unable to work because of sickness or disability,5,0.3559013350368715,9.729390028396408e-74
Unemployed,1,-0.04954397318211845,8.236203477664819e-05
Unemployed,2,-0.03520998653092718,0.008949800056987067
Unemployed,3,-0.020426937934266406,0.17177170245263365
Unemployed,4,0.05472646072134863,8.150151941864295e-05
Unemployed,5,0.12045789812245855,7.319569139109737e-10
Doing unpaid or voluntary work,1,0.005703509971946202,0.6509306774361008
Doing unpaid or voluntary work,2,0.044063094386236595,0.0010911644157985535
Doing unpaid or voluntary work,3,-0.006146460389789907,0.6814369929645114
Doing unpaid or voluntary work,4,-0.0375638549782813,0.006940424636568864
Doing unpaid or voluntary work,5,-0.021696983586772935,0.2682072691432578
Full or part-time student,1,-0.015156009163436596,0.2291042617508938
Full or part-time student,2,-0.004264587641578335,0.7518973735421519
Full or part-time student,3,0.00989121406301637,0.5087585894232696
Full or part-time student,4,0.004276280516281094,0.7585441734439515
Full or part-time student,5,0.020200871890278464,0.30248789616809324
Vitamin A,1,-0.004875696083916253,0.6997886860403669
Vitamin A,2,0.02059262201298961,0.1281362287582239
Vitamin A,3,0.009139227946714455,0.5428552500988555
Vitamin A,4,-0.02637958961243535,0.05875998857213448
Vitamin A,5,0.005012222330822093,0.7987354635259266
Vitamin B,1,-0.012920095861472115,0.30625941554011576
Vitamin B,2,0.0009978821281800604,0.941153800258862
Vitamin B,3,0.01494525637522192,0.3190926271485544
Vitamin B,4,-0.01170919525719447,0.4009395712918121
Vitamin B,5,0.026743973115121788,0.17311762995787747
Vitamin C,1,-0.004844434109836694,0.7016385660959463
Vitamin C,2,0.007244052159275721,0.5925204654502862
Vitamin C,3,0.0380563443345185,0.011283129061912827
Vitamin C,4,-0.023435948334209415,0.09315770434004624
Vitamin C,5,-0.02227814924690614,0.2570946898585782
Vitamin D_ukb_Modifiable_categorical_bl_data,1,0.009181131275571136,0.4659182179485918
Vitamin D_ukb_Modifiable_categorical_bl_data,2,0.01579443683801122,0.24126659222949748
Vitamin D_ukb_Modifiable_categorical_bl_data,3,-0.007749858682006329,0.6043585427429752
Vitamin D_ukb_Modifiable_categorical_bl_data,4,-0.025853769382246827,0.06288237793245277
Vitamin D_ukb_Modifiable_categorical_bl_data,5,0.009046591391832262,0.6439817571863828
Vitamin E,1,0.0007567216263486337,0.9522412373457174
Vitamin E,2,0.00965082335190003,0.475483226502749
Vitamin E,3,-0.0018255156731097463,0.9031864017646152
Vitamin E,4,-0.008071027425934445,0.5628057684680479
Vitamin E,5,-0.003050913327111632,0.8765648116374267
Folic acid,1,-0.023476393694407512,0.06322058323573175
Folic acid,2,-0.01591572107330279,0.23939486286567158
Folic acid,3,0.007169377222283515,0.6329511312448597
Folic acid,4,0.0016541758831635162,0.9056170143817242
Folic acid,5,0.07474820441898165,0.0001418512043496962
Multivitamins,1,0.01912674669069594,0.12924574049179818
Multivitamins,2,0.03593899935615266,0.007741395291213319
Multivitamins,3,0.018217221945593963,0.22381638474621027
Multivitamins,4,-0.03558085978564963,0.01056860585736591
Multivitamins,5,-0.08266861610773743,2.461267198046568e-05
Fish oil,1,0.06404541655601802,2.4751705665648987e-07
Fish oil,2,0.045786033606914495,0.0005700414798694507
Fish oil,3,0.02241205777970057,0.12857985350184822
Fish oil,4,-0.06941627795006065,4.0652208069208377e-07
