Biomarker,Subtype,Age,Coefficient,p,t
TNFRSF12A,3,49.0,0.17731607778647165,4.0357536700935545e-05,4.116555935740839
XG,3,49.0,0.15440643516442215,4.4173862455296645e-05,4.095458678846746
TINAGL1,3,64.0,0.16764665452998423,4.5645613565160465e-05,4.085522555109666
HAVCR2,3,64.0,0.1402331435436144,4.7660526482114464e-05,4.075401735612339
LAIR1,3,64.0,0.15150287490709147,4.81450379181827e-05,4.073028663068857
PTGDS,3,64.0,0.1501419623802469,4.866743046896713e-05,4.070495305033702
GAST,3,64.0,0.1863854718517775,4.930949628785567e-05,4.067416693469574
ADM,3,49.0,0.1994086630410006,4.984472636503991e-05,4.0671062577122115
PLXNB2,3,49.0,0.18561622742093462,5.2224299472190156e-05,4.056111925820923
RELT,3,64.0,0.140991579776654,5.321015748441293e-05,4.049492829860831
KYNU,3,49.0,0.19105947100109888,5.413924342036839e-05,4.047604091250596
REG4,3,64.0,0.17853989897046893,5.39002420857935e-05,4.04645218383671
GUCA2A,3,64.0,0.15717200969425363,5.458890391540676e-05,4.043454383703597
GZMH,3,64.0,0.1555629485797688,5.5425132601050615e-05,4.039862047894049
CELA3A,3,49.0,0.18466411783871206,5.727146382504428e-05,4.034284684359405
PALM2,3,49.0,0.1838225533594118,5.82883125873743e-05,4.030108898352449
KLRD1,3,64.0,0.17213328745783024,5.935358568656261e-05,4.023645138297447
VSIG4,3,64.0,0.1527226902454133,6.041745680847769e-05,4.0194285091138475
ALCAM,3,49.0,0.16615733779896574,6.111090032477684e-05,4.018869607400607
CD27,3,64.0,0.1509792403107976,6.096721432732575e-05,4.017277052935847
IGFBP7,3,49.0,0.18189166380362878,6.26377640699464e-05,4.0129932128613826
CD248,3,64.0,0.156620860539062,6.317279541152957e-05,4.00882644248722
TDP1,3,49.0,0.18263391875498364,6.419458595101684e-05,4.007139644041263
LEPR,3,49.0,0.19512659995489456,6.533886526689336e-05,4.0029223531542675
CDH17,3,49.0,0.1897809403932186,6.68040986435258e-05,3.99762317193325
COL1A1,3,49.0,0.1959609639373638,6.713151840315029e-05,3.996454081430823
CBLIF,3,49.0,0.1754688473502794,6.946276757929157e-05,3.988282893643418
TNFRSF11A,3,64.0,0.14849530338653533,6.908448221834789e-05,3.9874839234539485
HLA-DRA,3,49.0,0.18437737811306076,7.031550223246911e-05,3.9853587430666995
KRT18,3,49.0,0.17312631320292687,7.074618429545885e-05,3.9838946110712197
ADGRE2,3,64.0,0.15115808377015683,7.077554410011803e-05,3.9816968295367405
PCBD1,3,49.0,0.17731872653903663,7.223153026998692e-05,3.978909022000438
NOTCH3,3,49.0,0.1795034891317526,7.254728062839923e-05,3.9778617206398432
