biom,subtype,t_statistic,p_value,corrected_p_value,significant
ACRBP,5,12.630648351930544,1.7641717252442743e-36,2.5783369764445066e-32,True
ACRV1,1,-3.5648180570981967,0.0003646619513938674,1.0,False
ACRV1,2,5.539665472793278,3.0553473247195916e-08,0.0004465390115077683,True
ACRV1,3,-6.847841891974615,7.638483942415062e-12,1.1163644281839612e-07,True
ACRV1,4,0.41403709060102223,0.6788498391241033,1.0,False
ACRV1,5,5.86798448791451,4.456526944852419e-09,6.51321412990181e-05,True
ACSL1,1,0.9435823850005071,0.3453905306746987,1.0,False
ACSL1,2,6.785750295638303,1.1758353745014025e-11,1.7184833998337998e-07,True
ACSL1,3,-7.480820412307455,7.583625387575172e-14,1.1083468503941115e-09,True
ACSL1,4,-3.39395213444154,0.0006897889935119046,1.0,False
ACSL1,5,3.24441837385301,0.0011781675896376242,1.0,False
ACTA2,1,-16.416637377217803,2.631057211867707e-60,3.845290115144654e-56,True
ACTA2,2,20.694292636799577,1.7270382385323346e-94,2.524066385615007e-90,True
ACTA2,3,-32.66638995250035,4.157390391118481e-230,6.07602605661966e-226,True
ACTA2,4,2.2479235718478106,0.024588138550218,1.0,False
ACTA2,5,35.07689853349582,2.5707461443936928e-264,3.7571454900313816e-260,True
ACTN2,1,-2.1513226520899886,0.03145852723023059,1.0,False
ACTN2,2,7.543024078270436,4.718945732776102e-14,6.896739188452273e-10,True
ACTN2,3,-11.753151783053724,7.962466092900038e-32,1.1637144194773407e-27,True
ACTN2,4,-1.7631463589614722,0.07788576576057883,1.0,False
ACTN2,5,10.24006989428317,1.4365413188620635e-24,2.0995051375169057e-20,True
ACTN4,1,-5.935558478855346,2.9599074440055995e-09,4.3259047294141836e-05,True
ACTN4,2,3.2567748131796006,0.0011280815393990584,1.0,False
ACTN4,3,-8.029219648038472,1.0157618304933848e-15,1.4845359152660817e-11,True
ACTN4,4,4.274266995631305,1.9234560048024933e-05,0.28111309510188437,False
ACTN4,5,8.972917037362391,3.0480263982510606e-19,4.454690581043925e-15,True
ACVRL1,1,-34.730075669234566,2.9553441134157736e-259,4.319235421757153e-255,True
ACVRL1,2,29.196875602205274,7.232576969805046e-185,1.0570411241370075e-180,True
ACVRL1,3,-58.087562623305196,0.0,0.0,True
ACVRL1,4,14.836740189619338,1.2605662204110798e-49,1.842317531130793e-45,True
ACVRL1,5,66.79125121077884,0.0,0.0,True
ACY1,1,-39.566844484731426,0.0,0.0,True
ACY1,2,-7.198654300200016,6.220611635556984e-13,9.091423905366532e-09,True
ACY1,3,-12.524272974788632,6.733248451537316e-36,9.840642611921788e-32,True
ACY1,4,41.3405705974176,0.0,0.0,True
ACY1,5,30.525858602597825,1.2378682415844286e-201,1.8091444350756425e-197,True
ACY3,1,-16.534350475217444,3.821238618446327e-61,5.584740240859306e-57,True
ACY3,2,5.996747542249277,2.0355832780713906e-09,2.9750049609013374e-05,True
ACY3,3,-15.51766637110326,4.232783368086229e-54,6.186212892458024e-50,True
ACY3,4,10.622140550638086,2.612288073063072e-26,3.81785901878168e-22,True
ACY3,5,22.33726511921444,1.2054324713117425e-109,1.7617395568221116e-105,True
