protein,subtype,beta,pvalue,qvalue,p_corrected
TFF2,2,0.02755610524624625,7.250135346209008e-104,1.385107556664636e-102,2.119214561696893e-100
TFF2,3,0.02255116301968923,2.5347533496463212e-43,3.049005778195966e-42,7.409084041016197e-40
TFF2,4,0.02897756992116071,6.020089301184293e-83,1.1970558522014754e-81,1.7596721027361686e-79
TFF2,5,0.02760697485777506,5.2409393179159844e-27,6.574792114278292e-26,1.531926562626842e-23
TFF3,1,0.01152787226310274,1.1407262555395863e-34,6.736046151398405e-34,3.3343428449422106e-31
TFF3,2,0.018791121650119536,8.926405798070447e-78,1.2424706737028531e-76,2.6091884147759918e-74
TFF3,3,-0.011537275556871658,2.3999194397126787e-06,6.924940298400947e-06,0.0070149645222801595
TFF3,4,0.019555387280729995,1.2564825120243047e-43,1.3023753129954051e-42,3.6726983826470423e-40
TFF3,5,0.02719223350331697,9.715621434653893e-32,1.4270734398740365e-30,2.839876145349333e-28
TFPI,1,0.026971965828372566,3.2149506295567486e-111,6.26486712679625e-110,9.397300690194376e-108
TFPI,2,0.019075874265747875,4.39443024322398e-46,3.649124886631731e-45,1.2844919600943694e-42
TFPI,3,0.02784815482114473,2.6333575766983973e-60,4.780934283658022e-59,7.697304196689416e-57
TFPI,4,0.0034580308527993263,0.013897854681016982,0.01983565880498664,1.0
TFPI,5,0.004404576080523819,0.06657443118834566,0.10763111856390174,1.0
TFPI2,1,0.016658485589475823,9.069474729351474e-48,6.594545928829443e-47,2.6510074633894356e-44
TFPI2,2,0.01630060819656051,5.930702723319686e-41,4.433617406716993e-40,1.733544406026344e-37
TFPI2,3,0.017181580405448517,5.901754157819436e-31,4.8731150856797204e-30,1.725082740330621e-27
TFPI2,4,0.012766707241025674,2.632353722032716e-20,8.549299921668476e-20,7.69436992950163e-17
TFPI2,5,0.005813772424977527,0.052736318428168616,0.0892061682670931,1.0
TFRC,1,-0.004456983752385164,0.00032349631272086374,0.0006333420777515638,0.9455797220830847
TFRC,2,-0.004560367865372889,0.0010758126909804116,0.0024395659392829655,1.0
TFRC,3,-0.002963393846387952,0.06975863503547515,0.10256765101040939,1.0
TFRC,4,-0.00083707236853401,0.5818122611262745,0.6326775443720611,1.0
TFRC,5,0.0023772982370748614,0.34361150426044074,0.42129883680925684,1.0
TG,1,0.0007092588575304557,0.5831973825397683,0.6430350619252141,1.0
TG,2,0.0036623346962957803,0.012109040382095695,0.023707116568563776,1.0
TG,3,0.0028909863118905584,0.06891761296294499,0.1014331232077987,1.0
TG,4,0.004355410074635155,0.005260695176181255,0.0078135223577123,1.0
TG,5,0.00906016073529652,0.00010210419028046937,0.00034703552115094416,0.298450548189812
TGFA,1,0.004432387766574811,4.992154876494126e-05,0.00010612413602903514,0.1459206870399233
TGFA,2,0.00904987946371639,1.4217268459745102e-13,5.404041054334841e-13,4.1557075707834934e-10
TGFA,3,0.0033175009410977407,0.04574705495368408,0.0700464335409212,1.0
TGFA,4,0.0013151909326331833,0.3996691979537803,0.4570551899917449,1.0
TGFA,5,0.013592981145649103,8.888371630641047e-08,4.0468396069102463e-07,0.0002598071027636378
